City,Outlet Name,URL,Notes
"Grand Rapids, MI",Calvin College Chimes,http://www.calvin.edu/chimes/,
"Grand Rapids, MI",Herald Review,http://www.grandrapidsmn.com/,
"Grand Rapids, MI",Grand Rapids Business Journal,http://www.grbj.com/,
"Grand Rapids, MI",GRTV,http://www.grcmc.org/grtv,
"Grand Rapids, MI",GRNow,http://www.grnow.com/,
"Grand Rapids, MI",Grand Rapids Times,http://www.grtimes.com/,
"Grand Rapids, MI",If the River Swells,http://www.iftheriverswells.com/,
"Grand Rapids, MI",West Michigan Business Review Magazine,http://www.mlive.com/businessreview/,
"Grand Rapids, MI",Grand Rapids Press,http://www.mlive.com/grand-rapids/,
"Grand Rapids, MI",W237CZ 95.3 FM (WPRR rebroadcast),http://www.publicrealityradio.org/,
"Grand Rapids, MI",WRVU-LP,http://www.radiovisioncdr.com/,
"Grand Rapids, MI",WCXG FM 89.7 FM,http://www.strongtowerradio.org/,
"Grand Rapids, MI",WTLJ TV 54,http://www.tct.tv/,
"Grand Rapids, MI",Rapidian,http://www.therapidian.org/,
"Grand Rapids, MI",WBBL FM 107.3,http://www.wbbl.com/,
"Grand Rapids, MI",WCSG FM 91.3,http://www.wcsg.org/,
"Grand Rapids, MI",WFUR-FM 102.9,http://www.wfuramfm.com/,
"Grand Rapids, MI",WFUR- AM 1570,http://www.wfuramfm.com/,
"Grand Rapids, MI",WGVU TV 35,http://www.wgvu.org/home/,
"Grand Rapids, MI",WLAV-FM 96.9,http://www.wlav.com/,
"Grand Rapids, MI",WZZM TV 13,http://www.wzzm13.com/,
"Grand Rapids, MI",W235BN 94.9 FM (WYGR),http://wygr.net/,
"Grand Rapids, MI",MiBiz,https://mibiz.com/,
"Grand Rapids, MI",Aquinas College Saint,https://thesaintaq.com/,
"Hemet, CA",K250BG 97.9 FM,http://www.kdkr.org/,
"Hemet, CA",The Valley Chronicle,http://www.thevalleychronicle.com/,
"Henderson, KY",WGBF FM 103.1 Rock,http://103gbfrocks.com/,
"Henderson, KY",WKDQ FM 99.5 Country Music,http://wkdq.com/,
"Henderson, KY",WKPB FM 89.5 Western Kentucky University,http://wkyufm.org/,
"Henderson, KY",WSON AM 860 and w243CU FM (WSON) 96.5,http://wsonradio.com/,
"Henderson, KY",The Gleaner,http://www.thegleaner.com/,
"Henderson, KY",WTVW TV 7,http://www.tristatehomepage.com/,
"Henderson, KY",WEHT TV 25,http://www.tristatehomepage.com/,
"Henderson, KY",Henderson Watch,https://www.facebook.com/HendersonWatch,
"Holladay, UT",K288GY (KCPW) 105.5 Public Media,http://kcpw.org/,
"Holladay, UT",Cottonwood-Holladay Journal,http://www.cottonwoodholladayjournal.com/,
"Hurst, TX",KMNY AM 1360,http://www.lavoz1360dallas.com/,
"Issaquah, WA",Sammamish-Issaquah Patch,http://patch.com/washington/sammamish,
"Issaquah, WA",The Issaquah Press,http://www.eastofseattle.news/issaquah/,
"Issaquah, WA",Issaquah 360,http://www.issaquah360.com/,
"Issaquah, WA",Issaquah/Sammamish Reporter,http://www.issaquahreporter.com/,
"Keene, NH",Free Press Publications,http://fpp.cc/,
"Keene, NH",FPPradioNews,http://fppradio.com/,
"Keene, NH",Free Keene,http://freekeene.com/,
"Keene, NH",Keene State College Equinox,http://kscequinox.com/,
"Keene, NH",WEVN FM 90.7 New Hampshire Public Radio,http://nhpr.org/,
"Keene, NH",WSNI FM 97.7 Sunny 97,http://sunnykeene.com/,
"Keene, NH",WZBK AM 1290;,http://wkbkradio.com/,
"Keene, NH",W298BT WKBK FM 107.5,http://wkbkradio.com/,
"Keene, NH",w256BJ FM 99.1 Classic Hits,http://wkne.com/,
"Keene, NH",WKNE FM 103.7 Oldies,http://wkne.com/,
"Keene, NH",W288BN FM 105.5 WYRY Country,http://www.1049nashiconradio.com/,
"Keene, NH",W281AU FM 104.1 WZBK,http://www.1490wkvt.com/,
"Keene, NH",WEKW New Hampsure Public Television,http://www.nhptv.org/,
"Keene, NH",Keene Sentinel,http://www.sentinelsource.com/,
"Keene, NH",Monadnock Shopper News,http://www.shoppernews.com/,
"Keene, NH",W293AB FM 106.5 WHDQ,http://www.theqrocks.com/,
